name,color
Germany,#9ACD32   
Argentina,#377DB8
Neitherlands,#F5DEB3 
Brazil,#EE82EE      
Costa Rica,#40E0D0   
Belgium,#FF6347     
Colombia,#D8BFD8     
France,#D2B48C       
USA,#4682B4          
Switzerland,#00FF7F  
Algeria,#FFFAFA      
Nigeria,#708090      
Greece,#708090       
Mexico,#6A5ACD       
Uruguay,#87CEEB      
Chile,#A0522D        
Russia,#FFF5EE         
Korea Republic,#2E8B57 
Portugal,#F4A460     
Ghana,#FA8072        
Ecuador,#e7e1ef      
Honduras,#c994c7     
Bosnia Herzegovina,#dd1c77
Iran,#f7fcb9         
Cote D'Ivorie,#addd8e
Japan,#31a354        
England,#efedf5      
Italy,#bcbddc       
Camaroon,#756bb1     
Australia,#fee8c8    
Spain,#fdbb84        
Croatia,#e34a33     